id,genres
0,romance drama
1,drama
2,comedy
3,thriller mystery
4,thriller crime
5,romance comedy
6,thriller
7,crime action fantasy
8,thriller drama
9,war drama
10,crime drama
11,sci comedy
12,romance comedy
13,comedy
14,romance comedy
15,comedy drama
16,horror thriller
17,sport drama
18,drama
19,thriller action adventure
20,comedy
21,romance drama
22,comedy
23,thriller sci crime mystery action
24,music comedy
25,drama
26,thriller crime
27,thriller crime
28,romance comedy
29,comedy drama
30,romance drama
31,drama
32,action fantasy adventure
33,romance comedy
34,thriller crime
35,thriller drama
36,crime drama
37,horror thriller
38,thriller drama
39,romance drama
40,horror crime
41,sport drama
42,thriller mystery
43,drama
44,romance comedy
45,thriller drama
46,drama
47,sci drama
48,thriller
49,thriller crime
50,thriller crime
51,thriller mystery
52,comedy drama
53,romance comedy
54,romance comedy
55,drama
56,drama
57,crime comedy
58,thriller sci mystery
59,crime drama
60,action adventure
61,horror action
62,romance drama
63,action adventure
64,fantasy drama
65,comedy drama
66,thriller drama
67,thriller
68,thriller mystery
69,horror drama
70,crime drama
71,sport drama
72,thriller action
73,sci action adventure
74,horror action
75,drama
76,thriller crime drama
77,thriller action
78,romance comedy drama
79,thriller action
80,drama
81,fantasy drama
82,drama
83,thriller drama
84,drama
85,drama
86,comedy drama
87,sport drama
88,thriller sci
89,crime drama
90,thriller crime drama
91,crime comedy
92,drama
93,romance comedy
94,thriller drama
95,horror thriller
96,comedy drama
97,romance comedy
98,romance
99,romance comedy
100,crime drama
101,drama
102,drama
103,thriller crime
104,romance comedy drama
105,thriller action drama
106,action adventure
107,romance crime
108,thriller drama
109,drama
110,thriller crime
111,horror comedy
112,crime action
113,action drama
114,thriller action
115,thriller crime
116,romance
117,horror sci
118,drama
119,sci comedy
120,drama
121,thriller crime
122,crime comedy
123,thriller crime
124,drama
125,drama
126,war drama
127,mystery drama
128,drama
129,drama
130,thriller drama
131,comedy drama
132,thriller action
133,drama
134,thriller crime
135,biography drama
136,drama
137,romance comedy
138,crime comedy
139,thriller drama
140,thriller action
141,crime
142,thriller
143,sci action adventure
144,drama
145,thriller comedy
146,thriller crime
147,thriller action
148,thriller drama
149,romance drama
150,romance drama
151,romance drama
152,war drama adventure
153,thriller drama
154,sci action
155,thriller comedy
156,thriller crime
157,romance sci drama
158,mystery drama
159,thriller crime mystery action
160,romance mystery drama
161,drama
162,mystery drama
163,crime comedy
164,romance drama
165,romance drama
166,drama
167,crime drama
168,horror
169,horror drama
170,horror comedy fantasy
171,drama
172,action drama
173,drama
174,thriller mystery drama
175,comedy
176,horror sci
177,music comedy
178,horror thriller
179,thriller action
180,drama
181,drama
182,thriller crime mystery
183,thriller comedy
184,thriller sci
185,drama
186,thriller crime
187,romance comedy
188,drama
189,comedy action
190,sci drama
191,thriller sci drama
192,drama
193,thriller
194,comedy action
195,comedy
196,romance action
197,crime drama
198,thriller sci action
199,thriller action adventure
200,drama
201,thriller crime mystery
202,romance drama
203,thriller adventure
204,thriller action drama
205,drama
206,thriller crime
207,thriller action drama
208,drama
209,romance drama
210,romance drama
211,romance drama
212,thriller
213,drama
214,crime
215,romance drama
216,thriller drama
217,sci action adventure
218,thriller mystery
219,romance comedy
220,romance drama
221,thriller
222,comedy action
223,drama
224,thriller drama
225,horror thriller
226,crime
227,thriller mystery
228,comedy
229,comedy drama
230,thriller drama
231,romance drama
232,mystery drama
